gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astro	CC1	CC2	CC3	Endo	L2/3 IT	L4	L5 PT	L6 CT	L6 IT	L6b	Lamp5	NP	Pvalb	Sncg	Sst	Vip
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC002EFE61E	0.032	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0C04EA74D	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS096A4BF1B	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0F46608E1	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS013047C58	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS03EEE6D2D	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0D9BFD8AF	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0A195F101	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0C7C7DD02	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0BC3D8A73	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0554D19E3	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0DB067721	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0F106270D	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0764E52B3	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS09E87611A	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0270ABC42	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC01450B2FA	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0ACDCA68F	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC00939F2D1	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0C4BEF4C8	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0FF085B8B	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0567FF312	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC064FD0FE9	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC04A0FDD1C	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC00F5F0266	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A6	P48664	True	EAA4_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC00BFD8B11	0.0	0.033	0.066	0.06	0.0	0.103	0.103	0.074	0.068	0.067	0.051	0.104	0.167	0.076	0.094	0.14	0.14
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS075A67A85	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS033CD7688	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0785280EB	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS03DC69BFC	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS025FBADF2	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0132B4C1D	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0A0633E77	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0F62789CF	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0CA04CA30	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0D67AEEF8	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0EF654316	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS002ECD5B1	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS070154D3B	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0F4C33641	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0279E4E92	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0A742EB85	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0E5063BA7	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC02AA64371	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0BADC1C23	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0E7F3E3CE	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0D9EE71E7	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC095C752D3	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC02CD61933	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0AD6F0571	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC054692E80	0.001	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS03168613A	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS094923202	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0141EF49C	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0E9B87C01	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0A2ACA19B	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0AA5F0945	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0687D7002	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0AF8F897B	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0E5972156	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0F4182DEF	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS071CB03F7	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS03B7CB71D	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS03DC684EF	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS083EC4342	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0180815DB	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0B16C9C23	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC01CE8AC41	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC02227FA06	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0EDF3084D	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC038267193	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC015FAF28E	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC068956044	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC02DBB58E9	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0F83E11EB	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SLC1A7	O00341	True	EAA5_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0D299DB74	0.0	0.001	0.0	0.0	0.0	0.003	0.005	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.001
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0D0DD65C8	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS09B438562	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0C36883CF	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0EC1843D0	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0E1FAC826	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS026AD4940	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS01DE5E362	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0B1AAAC71	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS091852A34	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS00469C577	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0ED1ED131	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0159C4BD7	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS02A9283E5	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS0D542DC14	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CS04F89F4C0	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC0355B4C89	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC0B3501BF1	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC07424146E	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC0274F636A	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC08F46E2BA	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC046773FBE	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC05B7F59A7	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC081514479	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC041297876	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A6	CPI-CC0B72458CD	0.0	0.021	0.184	0.304	0.0	0.228	0.234	0.003	0.0	0.045	0.002	0.0	0.263	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS0D1727332	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS07CF0C9B9	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS0FBD9A478	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS08AE2D9A9	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS0AB98CF4B	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS0940331BF	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS0D1DC5DFD	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC17A7	CPI-CS059F4ED23	0.0	0.216	0.313	0.304	0.0	0.228	0.234	0.275	0.274	0.261	0.199	0.001	0.353	0.004	0.0	0.002	0.006
